F1,F2,T1,T2
1.4,0.2,1,0.28
1.4,0.2,1,0.28
1.3,0.2,1,0.26
1.5,0.2,1,0.3
1.4,0.2,1,0.28
1.7,0.4,1,0.68
1.4,0.3,1,0.42
1.5,0.2,1,0.3
1.4,0.2,1,0.28
1.5,0.1,1,0.15
1.5,0.2,1,0.3
1.6,0.2,1,0.32
1.4,0.1,1,0.14
1.1,0.1,1,0.11
1.2,0.2,1,0.24
1.5,0.4,1,0.6
1.3,0.4,1,0.52
1.4,0.3,1,0.42
1.7,0.3,1,0.51
1.5,0.3,1,0.45
1.7,0.2,1,0.34
1.5,0.4,1,0.6
1,0.2,1,0.2
1.7,0.5,1,0.85
1.9,0.2,1,0.38
1.6,0.2,1,0.32
1.6,0.4,1,0.64
1.5,0.2,1,0.3
1.4,0.2,1,0.28
1.6,0.2,1,0.32
1.6,0.2,1,0.32
1.5,0.4,1,0.6
1.5,0.1,1,0.15
1.4,0.2,1,0.28
1.5,0.1,1,0.15
1.2,0.2,1,0.24
1.3,0.2,1,0.26
1.5,0.1,1,0.15
1.3,0.2,1,0.26
1.5,0.2,1,0.3
1.3,0.3,1,0.39
1.3,0.3,1,0.39
1.3,0.2,1,0.26
1.6,0.6,1,0.96
1.9,0.4,1,0.76
1.4,0.3,1,0.42
1.6,0.2,1,0.32
1.4,0.2,1,0.28
1.5,0.2,1,0.3
1.4,0.2,1,0.28
4.7,1.4,2,6.58
4.5,1.5,2,6.75
4.9,1.5,2,7.35
4,1.3,2,5.2
4.6,1.5,2,6.9
4.5,1.3,2,5.85
4.7,1.6,2,7.52
3.3,1,2,3.3
4.6,1.3,2,5.98
3.9,1.4,2,5.46
3.5,1,2,3.5
4.2,1.5,2,6.3
4,1,2,4
4.7,1.4,2,6.58
3.6,1.3,2,4.68
4.4,1.4,2,6.16
4.5,1.5,2,6.75
4.1,1,2,4.1
4.5,1.5,2,6.75
3.9,1.1,2,4.29
4.8,1.8,2,8.64
4,1.3,2,5.2
4.9,1.5,2,7.35
4.7,1.2,2,5.64
4.3,1.3,2,5.59
4.4,1.4,2,6.16
4.8,1.4,2,6.72
5,1.7,2,8.5
4.5,1.5,2,6.75
3.5,1,2,3.5
3.8,1.1,2,4.18
3.7,1,2,3.7
3.9,1.2,2,4.68
5.1,1.6,2,8.16
4.5,1.5,2,6.75
4.5,1.6,2,7.2
4.7,1.5,2,7.05
4.4,1.3,2,5.72
4.1,1.3,2,5.33
4,1.3,2,5.2
4.4,1.2,2,5.28
4.6,1.4,2,6.44
4,1.2,2,4.8
3.3,1,2,3.3
4.2,1.3,2,5.46
4.2,1.2,2,5.04
4.2,1.3,2,5.46
4.3,1.3,2,5.59
3,1.1,2,3.3
4.1,1.3,2,5.33
6,2.5,2,15
5.1,1.9,2,9.69
5.9,2.1,2,12.39
5.6,1.8,2,10.08
5.8,2.2,2,12.76
6.6,2.1,2,13.86
4.5,1.7,2,7.65
6.3,1.8,2,11.34
5.8,1.8,2,10.44
6.1,2.5,2,15.25
5.1,2,2,10.2
5.3,1.9,2,10.07
5.5,2.1,2,11.55
5,2,2,10
5.1,2.4,2,12.24
5.3,2.3,2,12.19
5.5,1.8,2,9.9
6.7,2.2,2,14.74
6.9,2.3,2,15.87
5,1.5,2,7.5
5.7,2.3,2,13.11
4.9,2,2,9.8
6.7,2,2,13.4
4.9,1.8,2,8.82
5.7,2.1,2,11.97
6,1.8,2,10.8
4.8,1.8,2,8.64
4.9,1.8,2,8.82
5.6,2.1,2,11.76
5.8,1.6,2,9.28
6.1,1.9,2,11.59
6.4,2,2,12.8
5.6,2.2,2,12.32
5.1,1.5,2,7.65
5.6,1.4,2,7.84
6.1,2.3,2,14.03
5.6,2.4,2,13.44
5.5,1.8,2,9.9
4.8,1.8,2,8.64
5.4,2.1,2,11.34
5.6,2.4,2,13.44
5.1,2.3,2,11.73
5.1,1.9,2,9.69
5.9,2.3,2,13.57
5.7,2.5,2,14.25
5.2,2.3,2,11.96
5,1.9,2,9.5
5.2,2,2,10.4
5.4,2.3,2,12.42
5.1,1.8,2,9.18
